character,series,production,genre,gender,age,nationality,species,words,very E,really E,so E,totally E,PM like E,PM I mean E,PM you know E,H sort of E,H sort of E,all sort of,all kind of,or something E,or anything E,and stuff E,all E,probably E,perhaps E,possibly E,maybe E
Adam,Parenthood,US,dramedy,male,3,American,human,58206,10.48001924,8.933786895,5.325911418,1.202625159,2.577053912,10.30821565,35.56334399,1.030821565,2.748857506,7,26,1.202625159,0,0,1.202625159,4.295089853,0,0,9.277394083
Amber,Parenthood,US,dramedy,female,2,American,human,21094,17.0664644,22.75528586,32.71072343,2.844410733,47.880914,27.49597042,54.99194084,0.948136911,11.37764293,3,27,5.21475301,0,3.318479188,8.533232199,6.636958377,0.948136911,0,12.7998483
AngelB,Buffy the Vampire Slayer,US,science fantasy,male,3,American,vampire,11022,6.350934495,2.721829069,5.443658138,0,1.001056671,12.68005117,19.57621934,1.557199266,8.898281519,15,109,0,0,0,0,6.350934495,0,0.907276356,19.96007984
AngelA,Angel,US,science fantasy,male,3,American,vampire,89905,4.226683722,2.113341861,6.340025583,0.333685557,0,11.79459263,17.23825077,1.814552713,9.98003992,2,13,0.778599633,0.222457038,0,1.001056671,7.007396697,0.333685557,0.444914076,20.35481898
Anya,Buffy the Vampire Slayer,US,science fantasy,female,2,American,demon,22716,10.12502201,7.043493573,11.00545871,1.320655045,1.760873393,36.09790456,24.21200916,2.64131009,5.28262018,7,20,2.201091742,0.440218348,0,2.64131009,5.28262018,0.440218348,0,19.80982567
Buffy,Buffy the Vampire Slayer,US,science fantasy,female,2,American,human,126682,4.973082206,7.025465338,7.34121659,0.710440315,2.683885635,15.70862475,23.20771696,3.552201576,10.57766691,49,175,1.263005005,0.236813438,0.631502502,2.131320945,6.946527526,0.157875626,0.710440315,21.6289607
Camille,Parenthood,US,dramedy,female,4,American,human,8933,10.0750028,14.55278182,24.62778462,0,2.238889511,14.55278182,88.43613568,1.119444755,4.477779022,1,6,0,2.238889511,0,2.238889511,2.238889511,0,0,10.0750028
CordeliaB,Buffy the Vampire Slayer,US,science fantasy,female,2,American,human,13335,5.249343832,9.748781402,21.74728159,3.749531309,2.892569952,12.53446979,10.41325183,1.542703974,10.02757583,12,69,0.749906262,0.749906262,2.249718785,3.749531309,4.49943757,0,0,7.499062617
CordeliaA,Angel,US,science fantasy,female,2,American,human,51857,4.82094992,7.135005882,10.60608982,0.385675994,8.248968879,17.24784402,12.74840645,3.749531309,5.249343832,6,12,1.349865978,0.964189984,0.385675994,2.699731955,5.39946391,0,0,20.44082766
Crosby,Parenthood,US,dramedy,male,3,American,human,40039,8.74147706,17.73271061,15.48490222,1.248782437,11.48879842,20.97954494,51.6995929,0,12.48782437,0,62,2.497564874,0.249756487,1.248782437,3.996103799,5.994155698,0,0,20.23027548
